#Source: http://www.judicial.gov.tw/jfont/%E9%80%A0%E5%AD%97%E5%B0%8D%E7%85%A7%E8%A1%A8.pdf
01E687	019DC4
01E688	019E7B
01E689	019F69
01E68A	01571D
01E68B	015B4A
01E68C	01651E
01E68D	017054
01E68E	017C5D
01E68F	017F4E
01E690	018827
01E691	018B81
01E692	01496D
01E693	019C45
01E694	019C3A
01E695	019C35
01E696	019F93
01E697	01529A
01E698	01766F
01E699	01027527
01E69A	018989
01E69B	01945B
01E69C	01986C
01E69D	0156D2
01E69E	015B4F
01E69F	0197C8
01E6A0	019B2D
01E6A1	019F45
01E6A2	016B1D
01E6A3	0102591A
01E6A4	01898A
01E6A5	018D1C
01E6A6	019B2C
01E6A7	018EA7
01E6A8	017C70
01E6A9	014BBE
01E6AA	019AD7
01E6AB	019FA5
01E6AC	017067
01E6AD	013E11
01E6AE	01947B
01E6AF	01029ABC
01E6B0	0102591E
01E6B1	019E1C
01E6B2	0137B5
01E6B3	01576E
01E6B4	0136EF
01E6B5	014A1C
01E6B6	019A2F
01E6B7	01704D
01E6B8	016E75
01E6B9	013EFE
01E6BA	0190A8
01E6BB	014FE5
01E6BC	013ED1
01E6BE	018B1F
01E6BF	018D0B
01E6C0	016644
01E6C1	015B44
01E6C2	015CBA
01E6C3	013EE1
01E6C4	013BD6
01E6C5	018DC3
01E6C6	01712C
01E6C7	017402
01E6C8	017224
01E6C9	0193BB
01E6CA	017482
01E6CB	013D59
01E6CC	015A12
01E6CD	014EEF
01E6CF	015097
01E6D0	01508A
01E6D2	01655F
01E6D3	015790
01E6D4	015C78
01E6D5	018175
01E6D6	0181D4
01E6D7	017135
01E6D8	017138
01E6D9	0196E7
01E6DA	0171F3
01E6DB	013DEC
01E6DC	01717E
01E6DD	013DAD
01E6DE	016D26
01E6DF	016C75
01E6E0	0173FB
01E6E1	017456
01E6E3	018642
01E6E4	01824A
01E6E5	018D87
01E6E6	0148B0
01E6E7	0192E5
01E6E8	0193CB
01E6E9	0193E0
01E6EA	0193DB
01E6EB	0193F4
01E6EC	019284
01E6ED	0152D4
01E6EE	016511
01E6EF	0146C9
01E6F0	0141D9
01E6F1	019E18
01E6F2	013836
01E6F3	013DE0
01E6F4	018D12
01E6F5	016AD8
01E6F6	019218
01E6F7	019EC1
01E6F8	01028CDD
01E6F9	0150F4
01E6FA	016BF4
01E6FB	010247E5
01E6FC	017C76
01E6FD	013BB1
01E6FE	016909
01E6FF	015839
01E700	0169D6
01E702	016D81
01E703	0185EE
01E704	01621E
01E705	016F8A
01E707	017C99
01E70B	01355E
01E70C	017B16
01E70D	016E7B
01E70F	013EB1
01E710	0190A9
01E711	014966
01E712	017217
01E714	016E86
01E716	01663B
01E719	016895
01E71B	010222AF
01E71C	019633
01E71E	019281
01E720	0157D1
01E721	013D28
01E722	0137C4
01E725	016FD9
01E727	0102F8DE
01E72F	017771
01E731	016ACE
01E732	0164EE
01E733	017025
01E737	015AA1
01E739	018295
01E73A	010295D7
01E73E	01020BD2
01E740	016DFE
01E742	01717F
01E744	016936
